Model,Params,MAE,RMSE,R2
LinearRegression,{},0.3348856320788555,0.46486240865043504,0.5181867436925331
PolynomialRegression,{'degree': 2},0.3152764623453292,0.42921002680661885,0.5892581142372316
PolynomialRegression,{'degree': 3},0.41459736223370636,1.2499999724239972,-3.7935506607066083
DecisionTree,"{'max_depth': 5, 'min_samples_split': 2}",0.27770071766951354,0.40327346147372,0.6373451676074625
DecisionTree,"{'max_depth': 5, 'min_samples_split': 5}",0.2775814841236507,0.40296371792532915,0.6379102957409719
DecisionTree,"{'max_depth': 5, 'min_samples_split': 10}",0.2776352358199995,0.4029729341748286,0.637893506157942
DecisionTree,"{'max_depth': 10, 'min_samples_split': 2}",0.26371568233125114,0.4024923758316696,0.63848378120281
DecisionTree,"{'max_depth': 10, 'min_samples_split': 5}",0.26272333622616456,0.3991678668575448,0.6443565525051685
DecisionTree,"{'max_depth': 10, 'min_samples_split': 10}",0.26299398194488505,0.3963612815601689,0.6495016936544453
DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.2997886642475479,0.4864028075473731,0.4720998217019615
DecisionTree,"{'max_depth': None, 'min_samples_split': 5}",0.2921133001306483,0.46783765494909424,0.511702342427271
DecisionTree,"{'max_depth': None, 'min_samples_split': 10}",0.2824401813855045,0.4416689065925931,0.5648105371387899
Lasso,{'alpha': 0.001},0.3363033907272986,0.4651886428437648,0.5175143625419026
Lasso,{'alpha': 0.01},0.3497630708392343,0.47837105616246733,0.48983130027434185
Lasso,{'alpha': 0.1},0.40796071756993946,0.5172971237782202,0.40359777056572527
Lasso,{'alpha': 1.0},0.5603723604010943,0.6699019651187832,-0.00017439974574342542
Lasso,{'alpha': 10.0},0.5603723604010943,0.6699019651187832,-0.00017439974574342542
